الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
2317;EcoPlay Toys CN;الصين;الاقتصاد الدائري;ألعاب أطفال من مواد معاد تدويرها وآمنة.
2318;CircularHome CN;الصين;الاقتصاد الدائري;ديكور منزلي من مواد مستدامة ودائرية.
2319;ReuseOffice CN;الصين;الاقتصاد الدائري;منتجات مكتبية معاد تدويرها بالكامل.
2320;GreenPallets CN;الصين;الاقتصاد الدائري;صناعة منصّات نقل من مواد معاد تدويرها.
2321;EcoCharge Stations CN;الصين;الاقتصاد الدائري;محطات شحن كهربائية بمواد معاد تدويرها.
2322;RecycleMed CN;الصين;الاقتصاد الدائري;تدوير المعدات الطبية لاستخدامات داعمة.
2323;EcoPack CN;الصين;الاقتصاد الدائري;نظم تغليف قابلة للتحلل ومعاد تدويرها.
2324;GreenToys CN;الصين;الاقتصاد الدائري;ألعاب بيئية من مواد نباتية معاد تدويرها.
2325;ReuseMobile CN;الصين;الاقتصاد الدائري;خدمات إعادة تدوير الهواتف الذكية القديمة.
2326;EcoRoof Materials CN;الصين;الاقتصاد الدائري;مواد أسقف مستدامة معاد تدويرها.
2327;GreenBottle CN;الصين;الاقتصاد الدائري;قوارير قابلة لإعادة التعبئة والتدوير.
2328;CircularPipes CN;الصين;الاقتصاد الدائري;أنابيب صناعية مصنوعة من بلاستيك معاد تدويره.
2329;EcoStreet Furniture CN;الصين;الاقتصاد الدائري;أثاث حضري من مواد دائرية معاد استخدامها.
2330;ReuseConstruction CN;الصين;الاقتصاد الدائري;مواد بناء معاد تدويرها للهياكل العمرانية.
2331;Circular Toys CN;الصين;الاقتصاد الدائري;ألعاب تعليميّة مصنوعة من مخلفات البلاستيك.
2332;EcoGarden CN;الصين;الاقتصاد الدائري;أدوات ري وزراعة من مواد معاد تدويرها.
2333;GreenEvents CN;الصين;الاقتصاد الدائري;إدارة الفعاليات بمنهجيات صفر نفايات.
2334;EcoBox CN;الصين;الاقتصاد الدائري;صناديق تخزين قابلة لإعادة الاستخدام.
2335;CircularInk CN;الصين;الاقتصاد الدائري;حبر طباعة معاد تدويره مخصّص للقطاع المكتبي.
2336;EcoCeramics CN;الصين;الاقتصاد الدائري;منتجات خزفية من مواد معاد تدويرها.
2337;GreenCanvas CN;الصين;الاقتصاد الدائري;أقمشة قماشية صديقة للبيئة من مصادر دائرية.
2338;RecycleGames CN;الصين;الاقتصاد الدائري;ألعاب فيديو ومحتوى رقمي يروّج لإعادة التدوير.
2339;EcoSoap CN;الصين;الاقتصاد الدائري;صابون ومنتجات تنظيف صديقة للبيئة معاد تدويرها.
2340;GreenFrames CN;الصين;الاقتصاد الدائري;إطارات صور ومنتجات فنية من مواد معاد تدويرها.
2341;ReuseKitchen CN;الصين;الاقتصاد الدائري;أدوات مطبخ مصنوعة من مواد مستدامة.
2342;CircularMat CN;الصين;الاقتصاد الدائري;سجاد ومواد أرضيات من مواد معاد تدويرها.
2343;EcoGear CN;الصين;الاقتصاد الدائري;معدات رياضية صديقة للبيئة معاد تدويرها.
2344;EcoFurnish CN;الصين;الاقتصاد الدائري;أثاث منزلي مستدام ومنتجات ديكور معاد تدويرها.
2345;Momenta;شنغهاي;الذكاء الاصطناعي;برمجيات قيادة ذاتية تعتمد على الذكاء الاصطناعي للتنقل في المدن، تحليل الخرائط وتوقع حركة المرور، دعم السيارات الذكية.
2346;Pony.ai;قوانغتشو/شنتشن;الذكاء الاصطناعي;حلول قيادة ذاتية متقدمة، شاحنات نقل بدون سائق، أنظمة مراقبة وإدارة حركة المركبات الذكية.
2347;UISEE Technology;شوجياوزوانغ;الذكاء الاصطناعي;روبوتات وخوارزميات رؤية آلية للتحكم في السيارات، أتمتة خطوط الإنتاج، ونظم نقل ذاتية القيادة.
2348;Neolix;شنغهاي;الذكاء الاصطناعي;تصميم وإنتاج شاحنات ذكية صغيرة للتوزيع اللوجستي، مع أجهزة استشعار وحلول ملاحة آمنة وفعّالة.
2349;Xpeng Motors Tech Unit;شنتشن;الذكاء الاصطناعي;تطوير أنظمة التحكم الإلكتروني والمركبات الكهربائية، وإدارة بطاريات السيارات الذكية والكهربائية.
2350;Byton Automotive Labs;شنغهاي;الذكاء الاصطناعي;تطوير منصات معلومات وترفيه داخل السيارات، أنظمة واجهة مستخدم ذكية ومتصلة للسائق والركاب.
2351;Zhejiang Geely Autonomy Unit;هاندزو;الذكاء الاصطناعي;أبحاث التحكم الذكي والقيادة الذاتية، أتمتة خطوط التجميع، واختبار الأداء الديناميكي للمركبات.
2352;Leapmotor Tech;هانغتشو;الذكاء الاصطناعي;تصنيع لوحات إلكترونية للتحكم بالطاقة والمحركات، وأنظمة كهربائية ذكية للسيارات الكهربائية.
2353;WM Motor Labs;شنغهاي;الذكاء الاصطناعي;أنظمة تحكم مركزي، إدارة البطاريات، ومراقبة الأداء عبر الذكاء الاصطناعي للسيارات الكهربائية.
2354;Singulato Motors Tech;نانجينغ;الذكاء الاصطناعي;أجهزة اختبار ذكية للبطاريات والمحركات، تحليل البيانات وتحسين كفاءة المركبات الكهربائية.
2355;BOSCH China Startups Unit;شاندونغ;الذكاء الاصطناعي;حلول أتمتة خطوط الإنتاج، روبوتات تجميع السيارات، حساسات متقدمة ومعدات قياس دقيقة.
2356;Continental China R&D;شنغهاي;الذكاء الاصطناعي;تطوير حساسات، أنظمة إلكترونية للسلامة، إدارة الطاقة، وأجزاء كهربائية لدعم صناعة السيارات.
2357;Valeo China Innovation;بكين;الذكاء الاصطناعي;قطع إلكترونية متقدمة للسيارات، أنظمة مساعدة السائق، وأجهزة تحكم ديناميكية للطاقة والأمان.
2358;Aptiv Advanced Mobility China;شنغهاي;الذكاء الاصطناعي;أنظمة قيادة مستقلة، الذكاء الاصطناعي لمراقبة الأداء والسلامة، ودعم المركبات الذكية.
2359;AutoX;شنتشن;الذكاء الاصطناعي;حلول قيادة آلية للمركبات التجارية، روبوتات نقل، وتحسين التنقل الذكي ضمن المدن.
2360;DeepWay;بكين;الذكاء الاصطناعي;منصات نقل ذاتية القيادة، حلول ذكية للتوصيل، تحليل الحركة وتحسين مسارات المركبات التجارية.
2361;NIO Labs;شنتشن;الذكاء الاصطناعي;إدارة بطاريات السيارات الكهربائية، شحن ذكي، وأنظمة مراقبة أداء المركبات الكهربائية.
2362;WeRide.ai;غوانغتشو;الذكاء الاصطناعي;تطوير قيادة ذاتية، أنظمة تحكم في الوقت الحقيقي، وشاحنات ومركبات توصيل بدون سائق.
2363;Neptune Autonomy;شنغهاي;الذكاء الاصطناعي;حلول برمجية لدعم قيادة ذاتية وتحليل بيانات المركبات لتعزيز السلامة والكفاءة التشغيلية.
2364;Momenta Logistics;شنغهاي;الذكاء الاصطناعي;إدارة لوجستية ذكية لمكونات السيارات، تحسين التوريد والتسليم باستخدام الذكاء الاصطناعي.
2365;FAW Tech Startup;هبّي;الذكاء الاصطناعي;أتمتة خطوط الإنتاج، روبوتات تجميع، نظم مراقبة الجودة، تحسين كفاءة التصنيع في مصانع السيارات.
2366;Dongfeng Smart Parts;هونغتشو;الذكاء الاصطناعي;تطوير قطع غيار ذكية، إدارة سلسلة التوريد، وتحسين أداء المكونات الكهربائية والإلكترونية.
2367;SAIC Motor Tech Lab;شنغهاي;الذكاء الاصطناعي;حلول أتمتة، روبوتات التجميع، أدوات اختبار ديناميكية للأداء وإدارة الطاقة.
2368;Chery Intelligent Unit;وأنج;الذكاء الاصطناعي;أنظمة تحكم مركزي متقدمة، إدارة المركبات الذكية، تطوير برامج قيادة آمنة وفعّالة.
2369;GAC R&D Innovations;قوانغتشو;الذكاء الاصطناعي;تحسين عمليات الإنتاج، تطوير روبوتات صناعية، ونظم فحص الجودة لمكونات السيارات.
2370;BAIC Smart Equipment;بكين;الذكاء الاصطناعي;معدات ذكية لخطوط الإنتاج، روبوتات لحام، أجهزة قياس دقيق للأجزاء المتحركة.
2371;Chang’an Auto Tech;شيان;الذكاء الاصطناعي;برمجيات تحكم مركبات، إدارة خطوط الإنتاج، تحليل أداء السيارات الكهربائية والمكونات.
2372;JAC Motors Lab;وهان;الذكاء الاصطناعي;أدوات اختبار إلكتروني ذكية، روبوتات تجميع، تطوير قطع غيار السيارات الكهربائية.
2373;Great Wall Motors Tech;باoding;الذكاء الاصطناعي;أتمتة خطوط الإنتاج، تطوير قطع ذكية، تحسين كفاءة الطاقة والمحركات الكهربائية.
2374;Hozon Auto Labs;نانجينغ;الذكاء الاصطناعي;إدارة بطاريات السيارات، تطوير أنظمة شحن ذكية ومراقبة الأداء والكفاءة للطاقة.
2375;Enovate Motors Tech Unit;شنتشن;الذكاء الاصطناعي;حلول متقدمة للأنظمة الكهربائية، أتمتة خطوط الإنتاج، أدوات اختبار أداء المركبات.
2376;Aiways Innovation Unit;شانغهاي;الذكاء الاصطناعي;اختبارات أداء المركبات، تطوير أنظمة إلكترونية وإدارة الطاقة، دعم السيارات الكهربائية.
2377;Leapmotor Automation;هانغتشو;الذكاء الاصطناعي;روبوتات أتمتة خطوط الإنتاج، أجهزة فحص الجودة، تحسين سرعة التجميع وخفض الهدر.
2378;Siemens Mobility China Startups;شنغهاي;الذكاء الاصطناعي;حلول روبوتية وأتمتة، تحكم ذكي في خطوط تصنيع السيارات، حساسات دقيقة للطاقة والأمان.
2379;Autel Robotics Automotive;شنتشن;الذكاء الاصطناعي;روبوتات صناعية متقدمة لفحص وتجميع السيارات، تحسين كفاءة الإنتاج.
2380;Able Motors Manufacturing;بكين;الذكاء الاصطناعي;تصنيع قطع غيار السيارات، تحسين الجودة والكفاءة باستخدام الروبوتات والتحكم الذكي.
2381;SmartBattery Tech CN;الصين;الذكاء الاصطناعي;تطوير وإدارة بطاريات السيارات الكهربائية، تحسين عمر البطارية وكفاءة الشحن.
2382;EcoDrive Components;قوانغتشو;الذكاء الاصطناعي;تصنيع مكونات الحركة والكهرباء، تحسين كفاءة المحركات الكهربائية والمركبات الهجينة.
2383;GreenParts Recycling CN;الصين;الذكاء الاصطناعي;إعادة تدوير مكونات السيارات، تحويلها إلى قطع قابلة للاستخدام مجدداً.
2384;ZeroEmission Mobility CN;الصين;الذكاء الاصطناعي;حلول محركات كهربائية صديقة للبيئة، تحسين الأداء وتقليل الانبعاثات.
2385;AutoSensor Labs CN;الصين;الذكاء الاصطناعي;تطوير حساسات ذكية لمراقبة أداء المركبات، دعم القيادة الآمنة والتحكم الذكي.
2386;NanoParts CN;الصين;الذكاء الاصطناعي;إنتاج مكونات دقيقة للسيارات باستخدام تقنية النانو، تحسين المتانة والأداء.
2387;SmartChassis Innovations;الصين;الذكاء الاصطناعي;تصميم هياكل ذكية للمركبات، تعزيز السلامة وخفض الوزن لزيادة الكفاءة.
2388;AutoVision QA Tech;الصين;الذكاء الاصطناعي;أنظمة رؤية ذكية لاختبار جودة السيارات، كشف العيوب بدقة عالية.
2389;DriveTrain Smart Units;الصين;الذكاء الاصطناعي;أنظمة ناقل حركة ذكية، تحسين الكفاءة وتقليل الهدر في السيارات الكهربائية والهجينة.
2390;EcoBody Materials CN;الصين;الذكاء الاصطناعي;مواد خفيفة وقابلة لإعادة التدوير لأجسام السيارات، تحسين كفاءة استهلاك الطاقة.
2391;AutoAI Diagnostics CN;الصين;الذكاء الاصطناعي;تحليل بيانات المركبات للتنبؤ بالأعطال، تحسين الصيانة الوقائية والكفاءة التشغيلية.
2392;RoboWelding Systems;الصين;الذكاء الاصطناعي;روبوتات لحام عالية الدقة لخطوط تجميع السيارات، تحسين جودة الهيكل.
2393;PaintBot Robotics;الصين;الذكاء الاصطناعي;روبوتات طلاء أوتوماتيكية لمركبات السيارات، تحسين سرعة الإنتاج وتقليل الهدر.
2394;SmartAssembly CN;الصين;الذكاء الاصطناعي;أنظمة تجميع ذكية للمركبات، روبوتات متقدمة لتسريع خط الإنتاج وضمان جودة عالية.
2395;AutoParts Digital CN;الصين;الذكاء الاصطناعي;منصة رقمية لإدارة قطع الغيار، تتبع المخزون وتحليل بيانات الموردين لتحسين سلسلة التوريد.
2396;EcoTire Solutions;الصين;الذكاء الاصطناعي;تصنيع إطارات مستدامة، إدارة تدوير الإطارات القديمة وتحويلها إلى منتجات صديقة للبيئة.
2397;AutoGlass Innovations;الصين;الذكاء الاصطناعي;إنتاج زجاج سيارات ذكي، مقاوم للصدمات ويحتوي على حساسات للأمان ودعم القيادة الذاتية.
2398;SmartSeat Tech CN;الصين;الذكاء الاصطناعي;مقاعد سيارات ذكية، مزودة بحساسات راحة وسلامة وتدفئة/تبريد متكامل.
2399;ClimateControl Systems CN;الصين;الذكاء الاصطناعي;أنظمة تكييف ذكية للسيارات، تحكم ديناميكي بالطاقة وتقليل استهلاك الوقود.
2400;SmartMap Navigation CN;الصين;الذكاء الاصطناعي;خرائط ذكية وأنظمة ملاحة مخصصة للسيارات الكهربائية والمركبات ذاتية القيادة.
2401;AutoSafety Sensors CN;الصين;الذكاء الاصطناعي;حساسات أمان متقدمة، دعم أنظمة مانع التصادم ومراقبة النقاط العمياء.
2402;Lightweight Components CN;الصين;الذكاء الاصطناعي;إنتاج قطع خفيفة الوزن للمركبات لتحسين كفاءة استهلاك الطاقة والأداء.
2403;AutoConnect Solutions;الصين;الذكاء الاصطناعي;منصات اتصال بين السيارة والسحابة، تحسين وظائف المركبة الذكية والتحكم عن بعد.
2404;BatterySwap Tech CN;الصين;الذكاء الاصطناعي;حلول تبديل البطاريات السريعة للسيارات الكهربائية، تحسين وقت التشغيل وتقليل الأعطال.
2405;EcoCharging Stations CN;الصين;الذكاء الاصطناعي;محطات شحن صديقة للبيئة للسيارات الكهربائية، متكاملة مع الطاقة المتجددة.
2406;SmartFleet Management CN;الصين;الذكاء الاصطناعي;أنظمة إدارة أساطيل سيارات ذكية، تتبع المواقع وتحليل البيانات التشغيلية لتحسين الكفاءة.
2407;AutoLogistics Networks CN;الصين;الذكاء الاصطناعي;شبكات لوجستية داخلية لمصانع السيارات، تحسين تدفق قطع الغيار وخفض التكلفة.
2408;Remote Diagnostics CN;الصين;الذكاء الاصطناعي;أدوات تشخيص عن بعد للمركبات، تحليل الأعطال وتقديم حلول فورية لصيانة السيارات.
2409;EcoFuel Tech CN;الصين;الذكاء الاصطناعي;حلول وقود بديل ومحركات هجينة، تحسين كفاءة الطاقة وتقليل الانبعاثات.
2410;AutoPilot Systems CN;الصين;الذكاء الاصطناعي;أنظمة قيادة شبه مستقلة، دعم مركبات ذاتية القيادة في المدن والمناطق الصناعية.
2411;AutoAI Safety CN;الصين;الذكاء الاصطناعي;ذكاء اصطناعي لتحسين أنظمة السلامة على الطرق، تحليل بيانات الحوادث والقيادة.
2412;AutoParts Exchange CN;الصين;الذكاء الاصطناعي;منصة تداول رقمي لقطع الغيار بين الموردين والمصنعين، تحسين سرعة التوريد.
2413;SmartBrake Systems CN;الصين;الذكاء الاصطناعي;فرامل ذكية تعمل بتحليل بيانات الحركة لتعزيز الأمان والأداء الديناميكي.
2414;AutoBody Factory CN;الصين;الذكاء الاصطناعي;مصانع هيكل ذكية، روبوتات لحام وتشكيل المعادن لتجميع هياكل السيارات بسرعة ودقة.
2415;AutoSensor Networks CN;الصين;الذكاء الاصطناعي;شبكات حساسات لمراقبة الأداء الديناميكي للمركبات وتحسين كفاءة التشغيل والصيانة.
2416;GreenDrive Motors CN;الصين;الذكاء الاصطناعي;تطوير محركات كهربائية صديقة للبيئة، تحسين عمر البطارية وكفاءة استهلاك الطاقة.
2417;CarParts Supply CN;الصين;الذكاء الاصطناعي;شبكات توريد قطع غيار متكاملة، دعم الإنتاج وتحسين سلسلة الإمداد العالمي.
2418;AutoTech AI Labs CN;الصين;الذكاء الاصطناعي;مختبر أبحاث ذكاء اصطناعي للسيارات، تطوير حلول القيادة الذاتية وأتمتة المصانع.
2419;SmartDash Systems CN;الصين;الذكاء الاصطناعي;لوحات عدادات ذكية، عرض معلومات القيادة وتحليل بيانات المركبة في الوقت الحقيقي.
2420;EcoTrim Solutions CN;الصين;الذكاء الاصطناعي;تشطيبات داخلية مستدامة، استخدام مواد معاد تدويرها في المقاعد والألواح الداخلية.
2421;AutoElectronics CN;الصين;الذكاء الاصطناعي;مكونات إلكترونية متقدمة لدعم أنظمة التحكم والترفيه والسلامة في السيارات الحديثة.
2422;AutoFactory Automation CN;الصين;الذكاء الاصطناعي;روبوتات وأتمتة خطوط الإنتاج، تحسين سرعة التجميع وتقليل الهدر البشري والصناعي.
2423;AutoUX Tech CN;الصين;الذكاء الاصطناعي;تطوير تجربة المستخدم الرقمية داخل السيارات، واجهات تفاعلية وتحكم سهل للسائق والركاب.
2424;AutoPower Systems CN;الصين;الذكاء الاصطناعي;أنظمة طاقة متقدمة للسيارات الكهربائية، تحسين الشحن واستهلاك الطاقة الديناميكي.
2425;AutoDiagnostics CN;الصين;الذكاء الاصطناعي;أدوات فحص وتشخيص متقدمة للمركبات، دعم الصيانة الوقائية وتحليل الأعطال بدقة.
2426;SmartSuspension CN;الصين;الذكاء الاصطناعي;أنظمة تعليق ذكية، تحكم ديناميكي بالثبات والأداء على مختلف أنواع الطرق.
2427;AutoMaintenance Apps CN;الصين;الذكاء الاصطناعي;تطبيقات صيانة ذكية، تذكير دوري بالقطع والصيانة وتحليل أداء المركبات.
2428;AutoParts IoT CN;الصين;الذكاء الاصطناعي;حساسات IoT في قطع الغيار لمراقبة الأداء وتحليل عمر القطعة في الوقت الفعلي.
2429;EcoDrive Analytics CN;الصين;الذكاء الاصطناعي;تحليل بيانات القيادة لتحسين استهلاك الوقود، الأداء، والسلامة.
2430;SmartMirror Systems CN;الصين;الذكاء الاصطناعي;مرايا ذكية مزودة بكاميرات ورؤية آلية لتحسين الرؤية والسلامة.
2431;AutoTesting Labs CN;الصين;الذكاء الاصطناعي;مختبرات اختبار أداء المركبات والقطع، كشف الأعطال قبل التسويق أو التشغيل.
2432;AutoFleet IoT CN;الصين;الذكاء الاصطناعي;حلول IoT لإدارة أساطيل السيارات، تحسين المسار والصيانة والتشغيل الذكي.
2433;AutoParts 3D Print CN;الصين;الذكاء الاصطناعي;طباعة ثلاثية الأبعاد لقطع غيار مخصصة حسب الطلب لتقليل الوقت والتكاليف.
2434;GreenAuto Energy CN;الصين;الذكاء الاصطناعي;تكامل الطاقة المتجددة مع السيارات الكهربائية، تحسين الشحن وتقليل الانبعاثات.
2435;AutoRepair Platform CN;الصين;الذكاء الاصطناعي;منصة إلكترونية لصيانة السيارات وإدارة ورش الصيانة بكفاءة.
2436;AutoParts Marketplace CN;الصين;الذكاء الاصطناعي;سوق رقمي لتوزيع قطع غيار السيارات محليًا ودوليًا، تسريع عمليات البيع والشراء.
2437;EcoAuto Tools CN;الصين;الذكاء الاصطناعي;أدوات صيانة مستدامة، مصنوعة من مواد معاد تدويرها لدعم عمليات الورش.
2438;AutoRental Tech CN;الصين;الذكاء الاصطناعي;نظم إدارة تأجير السيارات، تحسين العمليات التشغيلية والتجربة الرقمية للمستخدمين.
2439;AutoParts Prognostics CN;الصين;الذكاء الاصطناعي;تحليل بيانات قطع الغيار للتنبؤ بالأعطال وتحسين الصيانة الوقائية.
2440;SmartAuto UX Labs CN;الصين;الذكاء الاصطناعي;أبحاث تجربة المستخدم الرقمية للمركبات الذكية والمركبات الكهربائية.
2441;AutoTrading Platforms CN;الصين;الذكاء الاصطناعي;منصات تجارة إلكترونية للسيارات وقطع الغيار، تحسين التجارة بين الموردين والموزعين.
2442;AutoParts Recycling CN;الصين;الذكاء الاصطناعي;إعادة تدوير قطع غيار السيارات القديمة، إنتاج مكونات جديدة صديقة للبيئة.
2443;EcoAuto Innovation CN;الصين;الذكاء الاصطناعي;حاضنة مشاريع وابتكارات لدعم السيارات الكهربائية والمركبات الذكية في منظومة الإنتاج.
2444;Instant Financial;فانكوفر (BC);;منصة دفع فوري للرواتب والمزايا التي تساعد الشركات على تحسين السيولة للموظفين.
2445;HGC Technologies;مونتريال (QC);;شركة تقنية خدمات B2B تقدم حلولاً متقدمة في تكنولوجيا المعلومات والتحول الرقمي.
2446;SkipTheDishes;وينيبغ (MB);;منصة توصيل الطعام عبر الإنترنت تربط المطاعم بالمستهلكين وسائقي التوصيل.
2447;Veritaaq;أوتاوا (ON);;مزود حلول هندسية وتقنية للمشاريع الكبرى، يشمل تطوير برمجيات وهندسة أنظمة.
2448;Tenstorrent;تورونتو (ON);;تصميم معالجات وشرائح حوسبة عالية الأداء لتطبيقات الذكاء الاصطناعي.
2449;Borrowell;تورونتو (ON);;منصة خدمات مالية ومنتجات ائتمانية لتحسين الوصول إلى الائتمان الشخصي.
2450;Deep Sky;مونتريال (QC);;تطوير تقنيات إزالة الكربون من الهواء والمحيطات (carbon capture).
2451;Benevity;كالغاري (AB);;منصّات إدارة التبرعات والمشاركة المجتمعية للشركات.
2452;Uken Games;تورونتو (ON);;استوديو تطوير ألعاب فيديو عبر منصّات متعددة للمحمول والويب.
2453;Float Financial Solutions;تورونتو (ON);;بطاقات نفقات الشركات وحلول إدارة المصاريف للشركات الصغيرة والمتوسطة.
2454;Xanadu Quantum Technologies;تورونتو (ON);;تطوير أجهزة حوسبة كمّية (Quantum) قابلة للاستخدام التجاري.
2455;Ideogram;كندا;;حلول ذكاء اصطناعي ونماذج تحليل بيانات متقدمة لأسواق متعددة.
2456;AtomVie Global Radiopharma;كندا;;شركة في الصحة الحيوية وتصنيع المكونات الصيدلانية للعلاج الإشعاعي.
2457;Brim Financial;كندا;;بطاقات ائتمان وخدمات مالية متكاملة مع برامج ولاء مدمجة.
2458;DalCor Pharmaceuticals;كندا;;تطوير أدوية قلبية ودوائية عالية الدقة.
2459;Pine;تورونتو (ON);;منصّة AI لتسهيل عمليات الرهن العقاري والتمويل العقاري الرقمي.
2460;Hiive;فانكوفر (BC);;منصة تداول أسهم الشركات الخاصة قبل الاكتتاب العام (Pre‑IPO).
2461;1Password;كندا/أرشيف StartupBlink;;حلول إدارة كلمات المرور وأمن الهوية الرقمية للأفراد والشركات.
2462;Rumble;كندا/أرشيف StartupBlink;;منصة فيديو رقمية تتيح تحميل وتبادل المحتوى بتركيز على الحرية التعبيرية.
2463;UniUni;كندا/أرشيف StartupBlink;;شبكة اجتماعية/محتوى ترفيهي رقمي يعزز التفاعل المجتمعي عبر الإنترنت.
2464;Blue Guardian;تورونتو (ON);;حلول AI في الصحة العقلية ودعم الرفاهية عبر تطبيقات ذكية.
2465;Sleepout;تورونتو (ON);;منتجات وحلول نوم محمولة ذكية لتحسين نوعية النوم.
2466;Instant Financial – Payroll Tech;فانكوفر (BC);;تمكين الموظفين من سحب جزء من رواتبهم عند الحاجة قبل موعد الدفع.
2467;Hilo.io;مونتريال (QC);;منصة بيانات ذكية للشركات لتحليل الأداء والقرارات التشغيلية.
2468;Wattpad Studios;تورونتو (ON);;منصة قصص رقمية تربط الكتاب بالقراء وتحوّل القصص إلى محتوى إعلامي.
2469;Drop Technologies;تورونتو (ON);;منصة مكافآت وتحفيز العملاء عبر الشراء الذكي من العلامات التجارية.
2470;Clio;فانكوفر (BC);;منصة SaaS لإدارة مكاتب المحاماة والسلطة القضائية الرقمية.
2471;ApplyBoard;لندن (ON);;منصة تعليمية تربط الطلاب الدوليين بالجامعات حول العالم.
2472;Clearco (Clearbanc);تورونتو (ON);;تمويل الشركات الناشئة عبر تحليلات البيانات بدون تخلي عن الأسهم.
2473;FreshBooks;Oakville (ON);;برنامج محاسبة سحابي للمحاسبين وأصحاب الأعمال الصغيرة.
2474;Ritual;تورونتو (ON);;منصة طلبات وتوصيل الطعام من أماكن العمل والمدارس.
2475;Gatik AI;تورونتو (ON);;تقنيات قيادة ذاتية للوجستيات قصيرة المدى بين المستودعات.
2476;Celsius Network (Canada);تورونتو (ON);;منصة تمويل لامركزي وتكنولوجيا Web3 للمستخدمين.
2477;Bunch.ai;تورونتو (ON);;تحليلات بيانات موارد بشرية لتعزيز ثقافة الشركات وأداء الموظفين.
2478;Ada Support;تورنتو (ON);;منصّة روبوتات محادثة AI لخدمة العملاء.
2479;Top Hat;تورونتو (ON);;منصة تعليم تفاعلية لطلاب الجامعات والمدارس عبر التقنية الرقمية.
2480;Frank & Oak;مونتريال (QC);;علامة أزياء رقمية مستدامة تركّز على التجارة الإلكترونية والتخصيص.
2481;Thinkific;فانكوفر (BC);;منصّة تعلم إلكتروني تمكّن المدربين من بناء دوراتهم وبيعها رقميًا.
2482;Element AI;مونتريال (QC);;شركة AI تعمل على أبحاث وتطبيقات الذكاء الصناعي قبل اندماجها مع ServiceNow.
2483;Mnubo (SAS analytics);كندا;;حلول IoT وتحليل بيانات الأجهزة الذكية.
2484;Trulioo;Vancouver/Toronto;;منصّة تحقق هوية إلكترونية عالمية لمكافحة الاحتيال.
2485;Konrad Group;تورونتو (ON);;شركة استشارية تقنية تربط الشركات بالحلول الرقمية المتقدمة.
2486;League Inc.;تورونتو (ON);;منصّة صحية رقمية توفر برامج رفاهية وتغطية طبية للشركات.
2487;Vidyard;كيتشنير (ON);;منصّة فيديو تسويقية تعزز مشاركة العملاء وتحسين المبيعات.
2488;Razor Sule Solutions;كندا;;حلول SaaS لتتبع الأداء التشغيلي للمؤسسات.
2489;Kira Systems;تورونتو (ON);;أدوات ذكاء صناعي لتحليل العقود والمستندات القانونية.
2490;Sensibill;تورنتو (ON);;تطبيق لإدارة الإيصالات وتنظيم المصاريف للمستهلكين.
2491;Sendle Canada;تورنتو (ON);;خدمة شحن صديقة للبيئة للشركات الصغيرة عبر كلمات اقتصادية.
2492;Waabi;تورونتو (ON);;شركة برمجيات قيادة ذاتية تطوّر حلول قيادة للشاحنات تعتمد على محاكاة AI قبل التشغيل على الطرق. (Wikipédia)
2493;Vosyn;كندا;;منصة ذكاء صناعي لتحليل البيانات التشغيلية وتحسين عمليات الأعمال. (Tech Talent Canada)
2494;Motion;كندا;;حلول SaaS لتحسين تجربة الموظفين، إدارة البرامج والعمليات الداخلية للشركات الذكية. (Tech Talent Canada)
2495;Beautifi;كندا;;منصة خدمات مالية شخصية تساعد المستهلكين في إدارة الاستثمارات والميزانيات. (Tech Talent Canada)
2496;PostGrid;كندا;;شركة تقنية تنقل البريد والمراسلات التقليدية إلى المنصات الرقمية للشركات. (Tech Talent Canada)
2497;Orchestry;كندا;;منصة SaaS لإدارة الموسيقى في الأماكن العامة وتحليل بيانات التفاعل الموسيقي. (Tech Talent Canada)
2498;Quandri;كندا;;حلول تحليل بيانات الأعمال لدعم اتخاذ القرار استنادًا إلى AI وتقارير ذكية. (Tech Talent Canada)
2499;Orennia;كندا;;منصة إدارة تدفق العمل والعمليات الرقمية للشركات متعددة الفرق. (Tech Talent Canada)
2500;Tali AI;كندا;;تطبيق ذكاء اصطناعي لدعم المهام اليومية وإنتاج محتوى تلقائي داخل المؤسسات. (Tech Talent Canada)
2501;Cozey Canada;كندا;;حلول تقنية حديثة في قطاع الرعاية الصحية المنزلية، تركّز على راحة المرضى وتحسين الخدمة. (Tech Talent Canada)
2502;Traferox Technologies;كندا;;أجهزة وحلول تقنية ذكية للبيئة الصناعية والمراقبة الذكية. (Tech Talent Canada)
2503;Alli Therapy;كندا;;منصة علاج شخصي عبر الإنترنت تربط بين المرضى والمعالجين. (Tech Talent Canada)
2504;Arca;فانكوفر (BC);;تقنيات تثبيت الكربون وتحويل ثاني أكسيد الكربون إلى معادن مستقرة معالجة بيئيًا. (CleanEnergy.ca)
2505;CarboMat;كالجاري (AB);;ابتكار ألياف كربونية منخفضة التكلفة من بقايا صناعية مثل الأسبالتينات. (CleanEnergy.ca)
2506;Carbonova;كالجاري (AB);;تحويل الانبعاثات إلى ألياف كربونية يمكن استخدامها في منتجات مستدامة. (CleanEnergy.ca)
